,Village,Month,Channel,Counts
0,Ajura,5,A.Gambiae,0.25
1,Ajura,6,A.Gambiae,0.25
2,Ajura,7,A.Funestus,0.5
3,Ajura,7,A.Gambiae,9.0
4,Ajura,8,A.Funestus,0.75
5,Ajura,8,A.Gambiae,30.666666666666668
6,Ajura,9,A.Funestus,1.25
7,Ajura,9,A.Gambiae,41.875
8,Ajura,10,A.Funestus,1.125
9,Ajura,10,A.Gambiae,4.75
10,Ajura,11,A.Funestus,0.25
11,Ajura,11,A.Gambiae,2.75
12,Matsari,6,A.Gambiae,0.25
13,Matsari,7,A.Funestus,0.25
14,Matsari,7,A.Gambiae,16.083333333333332
15,Matsari,8,A.Funestus,0.75
16,Matsari,8,A.Gambiae,56.5
17,Matsari,9,A.Funestus,2.875
18,Matsari,9,A.Gambiae,35.5
19,Matsari,10,A.Funestus,3.875
20,Matsari,10,A.Gambiae,23.625
21,Matsari,11,A.Funestus,0.5
22,Matsari,11,A.Gambiae,17.875
23,Matsari,12,A.Gambiae,2.25
24,Rafin Marke,5,A.Gambiae,0.25
25,Rafin Marke,6,A.Gambiae,2.75
26,Rafin Marke,7,A.Gambiae,6.25
27,Rafin Marke,8,A.Funestus,0.25
28,Rafin Marke,8,A.Gambiae,6.5
29,Rafin Marke,9,A.Funestus,0.75
30,Rafin Marke,9,A.Gambiae,29.75
31,Rafin Marke,10,A.Funestus,0.625
32,Rafin Marke,10,A.Gambiae,9.625
33,Rafin Marke,11,A.Funestus,0.375
34,Rafin Marke,11,A.Gambiae,1.0
35,Sugungum,1,A.Gambiae,0.5
36,Sugungum,2,A.Funestus,1.25
37,Sugungum,2,A.Gambiae,1.0
38,Sugungum,4,A.Funestus,0.75
39,Sugungum,4,A.Gambiae,1.4166666666666667
40,Sugungum,5,A.Gambiae,0.75
41,Sugungum,6,A.Funestus,0.25
42,Sugungum,6,A.Gambiae,1.625
43,Sugungum,7,A.Funestus,1.25
44,Sugungum,7,A.Gambiae,43.125
45,Sugungum,8,A.Funestus,1.625
46,Sugungum,8,A.Gambiae,79.0
47,Sugungum,9,A.Funestus,19.083333333333332
48,Sugungum,9,A.Gambiae,74.25
49,Sugungum,10,A.Funestus,55.0
50,Sugungum,10,A.Gambiae,11.875
51,Sugungum,11,A.Funestus,18.25
52,Sugungum,11,A.Gambiae,11.875
53,Sugungum,12,A.Funestus,0.875
54,Sugungum,12,A.Gambiae,2.125
